Datum;Kategorie;Artikel;Lieferant;Stückzahl;Einzelpreis_EUR;Summe_EUR;Notizen
2025-09-27;Bedienelemente;Potentiometer-Kappen;AliExpress;1;4,85;4,85;Erste Ausgabe
2025-09-27;Schutzausrüstung;CO2-Laser Schutzbrille;AliExpress;1;19,59;19,59; 
2025-09-27;Anschlüsse;TRS-Buchsen 6,35 mm;AliExpress;1;11,68;11,68;
2025-09-27;Anzeige;LED-Indicator;AliExpress;1;5,13;5,13;
2025-09-29;Röhren;JJ EL34 Version II - Paar;Tube-Town;1;48,00;48,00;jjel34-II-pair
2025-09-29;Röhren;Tung-Sol 12AX7 / ECC83 Reissue;Tube-Town;2;23,90;47,80;ts12ax7
2025-09-29;Trafos;TT Übertrager 50 Watt für Marshall / JCM800 / Plexi;Tube-Town;1;98,00;98,00;tt-otMAJ50
2025-09-29;Trafos;TT Netztransformator 50 Watt für Marshall / JCM 800 / Plexi;Tube-Town;1;119,00;119,00;tt-maj50-pw
2025-09-29;Drosseln;Hammond Drossel 193H;Tube-Town;1;57,70;57,70;ha193h
2025-09-29;Sockel;Sockel Oktal Keramik Print - GOLD, 2er Packung;Tube-Town;1;3,40;3,40;sk26
2025-09-29;Sockel;Sockel Noval Keramik Print, Gold, 2er Satz;Tube-Town;1;4,65;4,65;sk13
2025-09-29;Versand;Versand (Deutsche Post Paket: 9,1471 kg; Regellaufzeit: 3 Werktage);Tube-Town;1;10,50;10,50;
2025-09-29;Befestigung;Spring Tube Retainer (EL34, E34L, 6L6GC-STR, KT77 etc.) with damping ring;Tube Amp Doctor;2;2,28;4,56;TR | TAD-140707
2025-09-29;Befestigung;EL84 / 6BQ5 Tube Retainer;Tube Amp Doctor;2;1,75;3,50;TR-84 | TAD-140707
2025-09-29;Befestigung;Tube Retainer (small bottle 6L6WGC, 5881, GZ34 u.ä);Tube Amp Doctor;2;1,75;3,50;TR-M | TAD-140707
2025-09-29;Versand;Versand Tube Amp Doctor (Bestellung 140707);Tube Amp Doctor;1;6,50;6,50;
2025-10-05;PCB-Komponenten;Elektronische Bauteile für PCB;LCSC Parts;1;40,00;40,00;
2025-10-10;Lautsprecherbox;TTC 1X American Custom Shop (1x12);Tube-Town;1;394,79;394,79;ttc-1XAM
2025-10-10;Versand;Versand Tube-Town (Lautsprecherbox);Tube-Town;1;23,80;23,80;
2025-10-10;Verstärker-Chassis;TTC Headshell British #15 - Open Frame;Tube-Town;1;300,79;300,79;ttc-hd-br15
2025-10-10;Versand;Versand Tube-Town (Verstärker-Chassis);Tube-Town;1;8,45;8,45;
2025-10-10;Lautsprecher;Celestion G12H-75 Creamback 8 Ohm;Online-Händler;1;165,00;165,00;Geschätzte Kosten
2025-10-10;Fußschalter;Lead Foot FS-1 Fußpedal;Online-Händler;1;9,90;9,90;Kanalumschaltung
