Designator,Footprint,Quantity,Value,LCSC Part #
"AC-IN1, AC-IN2, AC-IN3, AC-IN4, AC-IN5, AUDIO-A1, AUDIO-B1, AUDIO-TO-FX1, AUDO-FROM-FX1, HV-OT1, HV-OT2, THUMP1, THUMP2, X-BS-1",TestPoint_THTPad_D3.0mm_Drill1.5mm,14,1,
"AC-IN6, AC-IN7, AC-IN8",TestPoint_THTPad_D4.0mm_Drill2.0mm,3,1,
"BIASA1, BIASB1, GND-MESS1",TestPoint_Pad_D2.0mm,3,1,
C1,CAP-TH_BD5.0-P2.00-D0.8-FD,1,33uF 50V,C89792
"C10, C8, C9",CAP-TH_BD12.5-P5.00-D0.6-FD,3,33uF 500V 5R5-ESR,C443401
"C11, C12",CAP-TH_BD10.0-P5.00-D1.0-FD,2,18uF 450V ±20%,C781269
"C13, C14",CAP-TH_BD6.3-P2.50-D1.0-FD,2,10uf/100V,C2029
C2,CAP-TH_BD16.0-P7.50-D1.2-FD,1,LKMI2501C682MF,C442803
"C3, C4",C0805,2,CC0805KRX7R9BB104,C49678
"C5, C6",CAP-TH_BD6.3-P2.50-D1.0-FD,2,"0,82uF 400V 20 %",C2029
C7,CAP-TH_BD16.0-P7.50-D1.2-FD,1,22uF_450V_16*20,C10737
"CHOKE1, CHOKE2",TestPoint_THTPad_D2.5mm_Drill1.2mm,2,1,
"D1, D2, D3, D4, D5, D6",DO-41_BD2.4-L4.7-P8.70-D0.9-RD,6,UF4007_C960666,C960666
J1,WB50_Jack_TRS_6pin_16.2mm,1,IN,
J2,WB50_Jack_TRS_6pin_16.2mm,1,SW,
J3,WB50_Jack_TRS_6pin_16.2mm,1,OUT1,
J4,WB50_Jack_TRS_6pin_16.2mm,1,OUT2,
"MH1, MH2",MountingHole_2.2mm_M2_DIN965_Pad_TopBottom,2,TestPoint,
"MH3, MH4, MH5, MH6, MH7, MH8",MountingHole_3.5mm_Pad_TopBottom,6,MountHole,
"N1, N2",NetTie_0.5mm_2Pad,2,~,
"R1, R15, R6",RES-TH_BD3.0-L9.5-P13.50-D0.6,3,33k 500V 2W,C70845
"R10, R11",RES-TH_BD2.7-L6.2-P10.20-D0.4,2,CR1/2WS-470K±5%-ST52,C2857409
"R12, R14, R20, R3, R5, R9",RES-TH_BD4.5-L11.0-P15.00-D0.7,6,CR1W-100K±5%-TT63,C601829
R13,RES-TH_BD4.0-L10.5-P14.50-D0.6,1,820R 350V 500mW,C167619
"R16, R7",RES-TH_BD4.5-L11.0-P15.00-D0.7,2,CR1W-10M±5%-6T63,C2897121
"R17, R18, R2",RES-TH_BD2.4-L6.3-P10.30-D0.6,3,1Meg 500V 250mW,C1370556
"R19, R25, R26, R27",RES-TH_BD5.5-L15.0-P19.00-D0.8,4,CF3WS-10KΩ±5%_T,C120810
"R21, R28",RES-TH_BD2.7-L6.2-P10.20-D0.4,2,CR1/4W-47K±5%-ST52,C2896823
"R22, R23",RES-TH_BD2.4-L6.3-P10.30-D0.6,2,CFR-25JT-52-1K5,C1370569
R24,RES-TH_BD6.0-L17.5-P21.50-D0.8,1,MOF5WS-47Ω±5%,C121969
R29,RES-TH_BD2.7-L6.2-P10.20-D0.4,1,CR1/4W-15K±5%-OT52,C2894565
"R30, R31",RES-TH_BD2.7-L6.2-P10.20-D0.4,2,MF1/4W-1Ω±1%-ST26,C2903254
"R32, U22, U27, U28, U4",RES-TH_BD3.5-L9.0-P13.00-D0.5,5,CR1/2W-220K±5%-XT52,C2894491
"R4, R8",RES-TH_BD2.7-L6.2-P10.20-D0.4,2,CR1/4W-2K7±5%-ST26,C2894624
"RELAY1, RELAY2, RELAY3",RELAY-TH_G5V-1,3,G5V-1-12V,C31113
RV1,WB50_Pot_Omeg_PC20BU_P5.00mm,1,Presence,
RV2,WB50_Pot_Omeg_PC20BU_P5.00mm,1,Bass,
RV3,WB50_Pot_Omeg_PC20BU_P5.00mm,1,Mid,
RV4,WB50_Pot_Omeg_PC20BU_P5.00mm,1,Treble,
RV5,WB50_Pot_Omeg_PC20BU_P5.00mm,1,Vol1,
RV6,WB50_Pot_Omeg_PC20BU_P5.00mm,1,Vol2,
RV7,WB50_Pot_Omeg_PC20BU_P5.00mm,1,Gain1,
RV8,WB50_Pot_Omeg_PC20BU_P5.00mm,1,Gain2,
U1,HEATSINK-TH_XSD366-094,1,XSD366-094,C286227
U10,MICA_CAP_L15.5_W3.6_P8.7,1,250pF 500V 5%,
"U11, U12, U13, U16, U6, U9",MICA_CAP_L15.5_W3.6_P8.7,6,500pF 500V 5%,
"U14, U15, U17, U25, U26",MUSTARD_CAP_D8.5_L20.5_P25.5,5,22n 630V 5%,
U18,RES-TH_BD5.0-L15.5-P19.50-D0.7,1,470R 500V 2W,C2905226
"U19, U23",MUSTARD_CAP_D10_L32_P40.4,2,100n 630V 5%,
U2,TO-220-3_L10.0-W4.5-P2.54-L,1,L7812CV-DG,C2914
U20,RES-TH_BD4.0-L11.5-P15.50-D0.7,1,CF2WS-82KΩ±5%_T,C120647
U21,MICA_CAP_L15.5_W3.6_P8.7,1,100pF 500V 5%,
"U24, U7",MUSTARD_CAP_D8.5_L20.5_P25.5,2,4n7 630V 5%,
"U29, U30",RES-TH_BD9.5-L22.0-P26.00-D0.7,2,CR-L5W-1KΩJ,C334294
U3,ABS-SMD_L5.0-W4.4-P4.00-LS7.0-BL,1,AB24S,C882375
U31,FUSE-TH_L22.5-W10.8-P22.50_0031.8201.G,1,16A 20mm 500V 5mm Plugin Fuse,C3204125
U32,RES-TH_BD5.0-L15.5-P19.50-D0.7,1,CR2W-4K7±5%-9T73,C2903451
U33,RES-ADJ-SMD_3314G-1-103E,1,3314G-1-503E,C719184
U5,RES-TH_BD5.0-L15.5-P19.50-D0.7,1,CR2W-68K±5%-9T73,C2903458
U8,MUSTARD_CAP_D8.5_L20.5_P25.5,1,2n2 630V 5%,
"V1, V2, V3",WB50_Socket_Noval_9Pin_D21.0mm_Hole1.8mm,3,12AX7,
"V4, V5",WB50_Socket_Octal_8Pin_D26.0mm_Hole2.0mm,2,EL34,
X-BS-2,TestPoint_THTPad_D3.0mm_Drill1.5mm,1,2,
X-BS-3,TestPoint_THTPad_D3.0mm_Drill1.5mm,1,3,
X1,TestPoint_THTPad_D3.0mm_Drill1.5mm,1,Switch-ON,
X12,TestPoint_THTPad_D4.0mm_Drill2.0mm,1,GND_OT,
X2,TestPoint_THTPad_D3.0mm_Drill1.5mm,1,Switch-GND,
X9,TestPoint_THTPad_D4.0mm_Drill2.0mm,1,Audio IN,
