Designator,Mid X,Mid Y,Rotation,Layer
C1,502.75,-199.5,0.0,top
C10,312.75,-179.75,90.0,top
C11,271.5,-183.790005,90.0,top
C12,229.5,-183.75,90.0,top
C13,486.5,-244.0,180.0,top
C14,503.75,-232.5,180.0,top
C2,502.0,-216.25,270.0,top
C3,504.040259,-192.354953,180.0,top
C4,501.540259,-181.354953,0.0,top
C5,156.0,-214.25,180.0,top
C6,205.0,-223.0,90.0,top
C7,222.75,-200.75,90.0,top
C8,398.5,-184.25,90.0,top
C9,358.0,-184.0,90.0,top
D1,446.0,-183.25,0.0,top
D2,446.0,-191.25,0.0,top
D3,494.0,-231.0,270.0,top
D4,207.5,-236.75,180.0,top
D5,243.0,-245.25,0.0,top
D6,324.0,-270.0,0.0,top
J1,142.9,-263.2,0.0,top
J2,172.9,-263.2,0.0,top
J3,312.75,-98.25,180.0,top
J4,345.25,-98.25,180.0,top
R1,140.5,-238.25,90.0,top
R10,230.0,-233.25,90.0,top
R11,223.25,-218.25,90.0,top
R12,271.5,-199.25,270.0,top
R13,230.25,-214.5,90.0,top
R14,267.0,-228.25,0.0,top
R15,267.25,-235.5,0.0,top
R16,333.0,-246.0,90.0,top
R17,296.0,-228.25,180.0,top
R18,335.5,-228.25,0.0,top
R19,315.0,-239.5,0.0,top
R2,134.5,-237.75,90.0,top
R20,322.25,-196.75,270.0,top
R21,348.0,-258.75,0.0,top
R22,468.75,-202.5,0.0,top
R23,400.0,-202.75,0.0,top
R24,379.0,-186.75,180.0,top
R25,336.25,-177.25,180.0,top
R26,292.5,-186.5,180.0,top
R27,249.0,-186.25,180.0,top
R28,470.0,-247.0,0.0,top
R29,497.25,-240.25,0.0,top
R3,184.75,-186.25,180.0,top
R30,448.5,-256.0,180.0,top
R31,421.75,-256.0,180.0,top
R32,489.5,-214.0,270.0,top
R4,155.75,-221.75,180.0,top
R5,195.0,-262.25,270.0,top
R6,191.25,-228.5,90.0,top
R7,205.5,-262.25,270.0,top
R8,197.75,-223.25,90.0,top
R9,199.25,-195.5,180.0,top
RELAY1,208.25,-245.75,90.0,top
RELAY2,242.75,-255.25,270.0,top
RELAY3,323.540005,-261.41999,270.0,top
RV1,502.9,-270.2,0.0,top
RV2,462.9,-270.2,0.0,top
RV3,422.9,-270.2,0.0,top
RV4,382.9,-270.2,0.0,top
RV5,342.9,-270.2,0.0,top
RV6,302.9,-270.2,0.0,top
RV7,262.9,-270.2,0.0,top
RV8,222.9,-270.2,0.0,top
U1,502.790309,-189.354953,0.0,top
U10,242.25,-265.75,0.0,top
U11,224.75,-233.5,90.0,top
U12,264.25,-199.75,270.0,top
U13,267.25,-220.75,0.0,top
U14,283.25,-248.5,270.0,top
U15,295.75,-248.5,270.0,top
U16,267.5,-242.5,0.0,top
U17,315.5,-248.75,180.0,top
U18,339.75,-234.0,0.0,top
U19,502.0,-256.0,0.0,top
U2,502.790132,-186.254953,180.0,top
U20,313.0,-196.75,270.0,top
U21,318.0,-208.0,0.0,top
U22,382.5,-261.75,0.0,top
U23,359.25,-243.25,180.0,top
U24,377.75,-253.75,0.0,top
U25,342.75,-220.25,0.0,top
U26,342.75,-210.0,0.0,top
U27,362.0,-221.5,270.0,top
U28,367.75,-221.5,90.0,top
U29,433.5,-202.0,180.0,top
U3,515.790259,-211.354953,270.0,top
U30,363.75,-198.5,0.0,top
U31,424.25,-187.5,180.0,top
U32,336.0,-186.5,180.0,top
U33,471.25,-256.0,270.0,bottom
U4,212.5,-186.25,180.0,top
U5,188.75,-245.25,0.0,top
U6,184.75,-179.75,180.0,top
U7,159.75,-245.25,0.0,top
U8,215.0,-222.0,270.0,top
U9,242.25,-271.0,0.0,top
V1,175.25,-225.0,288.0,bottom
V2,245.125,-225.0,288.0,bottom
V3,315.0,-225.0,288.0,bottom
V4,468.75,-225.0,0.0,bottom
V5,400.0,-225.0,0.0,bottom
